timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542785193.600566060,-0.102839,-0.0148475,0.122236,-0.077364,-0.034714,0.0187255,-1.62254,-1.02681,0.428213
1542785193.653634587,-0.10674,-0.0171963,0.123166,-0.0698667,-0.0541488,-0.00254261,-1.56682,-0.966948,0.366241
1542785193.702862548,-0.103364,-0.0158408,0.121624,-0.0716154,-0.0383305,-0.00874629,-1.56007,-0.9508,0.362229
1542785193.752127543,-0.106413,-0.017562,0.121055,-0.0729693,-0.0449591,-0.0130428,-1.50805,-0.965457,0.247209
1542785193.799599626,-0.109495,-0.0183399,0.117342,-0.0672577,-0.0518949,-0.00609317,-1.49486,-1.07376,0.255784
1542785193.855121084,-0.112823,-0.0212652,0.116632,-0.0553506,-0.0646565,-0.0206399,-1.55506,-1.09534,0.348203
1542785193.903745184,-0.10801,-0.0185111,0.118252,-0.0528309,-0.0708889,-0.0233642,-1.50248,-1.03866,0.446303
1542785193.952121842,-0.110525,-0.0218556,0.117077,-0.0549023,-0.0674712,-0.0243491,-1.53741,-1.02911,0.463235
1542785194.000742129,-0.111832,-0.0123379,0.1138,-0.0530314,-0.0545807,-0.036001,-1.64447,-1.08692,0.407832
1542785194.049579144,-0.114892,-0.0149475,0.111709,-0.0554088,-0.0546632,-0.0429662,-1.57781,-1.13128,0.42468
1542785194.104186550,-0.111442,-0.0122908,0.115075,-0.0428768,0.0102513,-0.0210877,-1.57899,-1.06602,0.486221
1542785194.155957642,-0.113732,-0.013083,0.113563,-0.0513752,-0.0210011,-0.0370981,-1.60949,-1.04253,0.486483
1542785194.199934948,-0.115688,-0.0107928,0.109609,-0.0583637,-0.0212615,-0.0414706,-1.61106,-1.08946,0.495779
1542785194.251813968,-0.118048,-0.0112006,0.10666,-0.0522799,-0.00434502,-0.0599909,-1.70368,-1.15074,0.484596
1542785194.304644547,-0.11605,-0.011134,0.110039,-0.0285791,0.0480734,-0.0627437,-1.62907,-1.10212,0.51522
1542785194.350630543,-0.117236,-0.00967788,0.106987,-0.0307074,0.0217667,-0.060094,-1.65872,-1.05503,0.525599
1542785194.397782666,-0.122366,-0.0147469,0.0878476,-0.0237192,0.0250971,-0.0692373,-1.64441,-0.857746,0.454303
1542785194.450918911,-0.123112,-0.0140613,0.0832114,-0.0187515,0.00723372,-0.0807396,-1.68015,-0.898281,0.476189
1542785194.501382337,-0.123292,-0.0103518,0.0890517,-0.00872272,0.0137365,-0.0878096,-1.69379,-0.911364,0.475176
1542785194.600246733,-0.121491,-0.00854897,0.0923351,-0.00199968,0.0241183,-0.0842115,-1.70694,-0.858691,0.477157
1542785194.654121694,-0.121503,-0.00696536,0.0876807,0.00296729,0.0367336,-0.0806146,-1.67082,-0.839781,0.488096
1542785194.703491766,-0.124269,-0.00288153,0.0881683,-0.000712841,0.0421686,-0.0807841,-1.76507,-0.874584,0.461812
1542785194.750730658,-0.124552,-0.0023115,0.0845951,-0.0110519,0.0125501,-0.0791575,-1.76491,-0.883666,0.51677
1542785194.804010639,-0.125923,0.00274569,0.0853955,-0.0126101,0.0217478,-0.0795787,-1.82263,-0.872565,0.486316
1542785194.856349326,-0.127033,0.00300442,0.0815666,-0.0299385,0.00456283,-0.0727219,-1.87181,-0.837317,0.483294
1542785194.901429506,-0.130292,0.00498036,0.0800069,-0.0395467,0.010041,-0.081618,-1.85717,-0.892798,0.500332
1542785194.953919843,-0.132355,0.00513471,0.0759811,-0.0473419,-0.0283066,-0.0910694,-1.8731,-0.931319,0.516739
1542785195.007253967,-0.132873,0.00835985,0.0789902,-0.0437675,0.0398458,-0.0949319,-1.89588,-0.860736,0.484917
1542785195.052821680,-0.135035,0.00980468,0.0744798,-0.0585503,0.0503,-0.0697994,-1.88575,-0.894093,0.515516
1542785195.106285744,-0.138771,0.0116299,0.071913,-0.0532224,0.0555034,-0.0853692,-1.89491,-0.929321,0.52608
1542785195.152600200,-0.141266,0.0141187,0.067975,-0.0681575,0.0676699,-0.0885002,-1.90955,-0.90588,0.511889
1542785195.200856038,-0.140013,0.0125653,0.0718228,-0.068747,0.0656106,-0.0804456,-1.95545,-0.87326,0.495851
1542785195.252972987,-0.143199,0.0162311,0.0667916,-0.0466099,0.0730266,-0.097959,-1.96225,-0.867006,0.528036
1542785195.301619926,-0.141767,0.0207187,0.0725374,-0.0502175,0.0719148,-0.0687051,-2.0367,-0.867886,0.424487
1542785195.356252941,-0.144582,0.0246796,0.068945,-0.0539247,0.0756784,-0.0743835,-2.04451,-0.851338,0.448616
1542785195.402882987,-0.139377,0.0236416,0.0707308,-0.0320633,0.0770889,-0.0680768,-2.02149,-0.82637,0.437003
1542785195.454056350,-0.141102,0.0279179,0.0667197,-0.0327122,0.0944921,-0.0791442,-2.07344,-0.827073,0.410109
1542785195.500921583,-0.139744,0.0188742,0.0667754,-0.036943,0.0646157,-0.0735568,-2.00885,-0.907742,0.432548
1542785195.553754002,-0.141691,0.0219494,0.0630985,-0.0312448,0.0702845,-0.071332,-1.9897,-0.937565,0.47143
